"","type_of_preprint","mean_time","sd_time","n"
"1","book",314,15.56,2
"2","book chapter",337.91,141.58,11
"3","comment",201.93,146.55,15
"4","methods papers",285.28,127.84,50
"5","opinion",259.41,225.66,59
"6","other",210.88,127.28,17
"7","research article",308.78,208.01,300
"8","reviews and meta-analyses",267.99,180.19,165
